Company Random #,Sales Rep Random #,Contacts Full Name,Title,Company,Company Headcount,Industry,Company Website,Sales Representative
277,89,Bevvy Torrie,Accountant IV,PIMCO Municipal Income Fund III,10000+,Holdings,www.pimco.com,Jack Mccarthy
77,34,Chen Doull,Project Manager,"Apogee Enterprises, Inc.",10000+,Auto Parts:O.E.M.,www.apogee.com,Dolan Merrill
613,6,Ailyn Trayes,Mechanical Systems Engineer,ZIOPHARM Oncology Inc,1001-5000,Major Pharmaceuticals,www.ziopharm.com,Yolanda Wade
860,70,Rees Stuehmeyer,Programmer Analyst I,"Global Ship Lease, Inc.",201-500,Holdings,www.global.com,Tucker Horn
692,43,Jennica Granger,Analyst Programmer,Merus N.V.,1001-5000,Major Pharmaceuticals,www.merus.com,Fritz Rodgers
779,97,Melania Jobson,Senior Cost Accountant,Bank of South Carolina Corp.,1001-5000,Major Banks,www.bank.com,Neil Garrett
966,14,Berke Maffia,Senior Cost Accountant,Conyers Park Acquisition Corp.,201-500,Business Services,www.conyers.com,Martin Pruitt
809,67,Allianora Pilkington,Account Executive,"Spirit Aerosystems Holdings, Inc.",201-500,Military/Government/Technical,www.spirit.com,Velma Eaton
195,23,Waneta Episcopi,General Manager,"EnLink Midstream Partners, LP",10000+,Natural Gas Distribution,www.enlink.com,Wylie Klein
166,44,Winne Raymond,Payment Adjustment Coordinator,"Synthetic Fixed-Income Securities, Inc.",201-500,Holdings,www.synthetic.com,Lani Solomon
875,31,Windy Jessup,Structural Analysis Engineer,WisdomTree U.S. Quality Dividend Growth Fund,1001-5000,Holdings,www.wisdomtree.com,Natalie Hull
160,63,Katherina Marrow,Senior Cost Accountant,"Liberty All-Star Growth Fund, Inc.",1001-5000,Holdings,www.liberty.com,Zena Cochran
387,54,Griselda Giacomello,Assistant Professor,Gabelli Utility Trust (The),1001-5000,Holdings,www.gabelli.com,Eve Mccarty
648,86,Gwynne Joliffe,Research Nurse,"Mid-America Apartment Communities, Inc.",201-500,Holdings,www.mid-america.com,Nyssa King
668,82,Dene Pesik,Statistician III,"General American Investors, Inc.",1001-5000,Holdings,www.general.com,Rudyard Harrison
75,89,Ravi Dummer,Software Engineer II,"Spirit Airlines, Inc.",501-1000,Air Freight/Delivery Services,www.spirit.com,Jack Mccarthy
262,71,Vassily Duigan,Systems Administrator II,Navios Maritime Partners LP,10000+,Marine Transportation,www.navios.com,Farrah Mcgee
714,78,Mose Giorgini,Executive Secretary,Nuveen Quality Preferred Income Fund 2,201-500,Holdings,www.nuveen.com,Audrey Landry
174,49,Dalis Germaine,Actuary,"Digital Realty Trust, Inc.",501-1000,Holdings,www.digital.com,Troy Workman
562,68,Lodovico Stuck,Staff Accountant II,"Amphastar Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals,www.amphastar.com,Libby Lyons
736,73,Marthe Stair,Civil Engineer,Dreyfus High Yield Strategies Fund,201-500,Holdings,www.dreyfus.com,Lysandra Whitfield
969,52,Paige Brogioni,Quality Control Specialist,"Neenah Paper, Inc.",1001-5000,Paper,www.neenah.com,Daphne Lindsey
523,71,Ardis Middlemist,Marketing Manager,"Sprouts Farmers Market, Inc.",10000+,Food Chains,www.sprouts.com,Farrah Mcgee
15,61,Karon Myrtle,Editor,Sunrun Inc.,10000+,Industrial Specialties,www.sunrun.com,Maryam Whitfield
371,49,Karine Ritchie,Help Desk Technician,Ardmore Shipping Corporation,501-1000,Marine Transportation,www.ardmore.com,Troy Workman
558,5,Ike Grunbaum,Senior Editor,INVESCO MORTGAGE CAPITAL INC,10000+,Real Estate Investment Trusts,www.invesco.com,Risa Pugh
825,2,Chevy Derr,Quality Control Specialist,Marine Petroleum Trust,10000+,Oil & Gas Production,www.marine.com,Samuel Acosta
482,32,Dawn Baistow,Software Consultant,"Goldman Sachs Group, Inc. (The)",201-500,Holdings,www.goldman.com,Gretchen Montgomery
690,21,Stanislas Tesoe,Sales Representative,"Avangrid, Inc.",501-1000,Electric Utilities: Central,"www.avangrid,.com",Vernon Dejesus
334,2,Kimberly Twentyman,Business Systems Development Analyst,"The Bon-Ton Stores, Inc.",201-500,Department/Specialty Retail Stores,www.the.com,Samuel Acosta
392,88,Salaidh Marchington,Product Engineer,"Daseke, Inc.",1001-5000,Transportation Services,"www.daseke,.com",Rhona Gross
40,19,Correy Braddock,Software Test Engineer III,"Fidelity National Information Services, Inc.",1001-5000,Business Services,www.fidelity.com,Hasad Conrad
444,14,Fina Bremner,Research Nurse,"Morgan Stanley Emerging Markets Debt Fund, Inc.",1001-5000,Holdings,www.morgan.com,Martin Pruitt
742,32,Farley Thake,Help Desk Technician,National General Holdings Corp,1001-5000,Property-Casualty Insurers,www.national.com,Gretchen Montgomery
13,81,Johannah Bonhan,Structural Engineer,Marvell Technology Group Ltd.,501-1000,Semiconductors,www.marvell.com,Solomon Matthews
248,47,Guendolen Barclay,Clinical Specialist,"HopFed Bancorp, Inc.",10000+,Major Banks,www.hopfed.com,Ursa Singleton
33,50,Eberto Clandillon,Human Resources Manager,PowerShares KBW High Dividend Yield Financial Portfolio,201-500,Holdings,www.powershares.com,Basia Russo
401,18,Federico Walkley,Programmer Analyst I,New York Times Company (The),501-1000,Newspapers/Magazines,www.new.com,Porter Conway
925,13,Kathye Cartledge,Teacher,"National Western Life Group, Inc.",10000+,Life Insurance,www.national.com,Anjolie Murphy
380,67,Keriann Brinded,Cost Accountant,"Dollar Tree, Inc.",1001-5000,Department/Specialty Retail Stores,www.dollar.com,Velma Eaton
145,59,Waiter Lyle,VP Product Management,EPR Properties,501-1000,Holdings,www.epr.com,Amanda Massey
250,46,Nelie Boothebie,Office Assistant I,Seanergy Maritime Holdings Corp,1001-5000,Marine Transportation,www.seanergy.com,Camille Ortega
691,25,Rem Moyle,Business Systems Development Analyst,Centene Corporation,10000+,Medical Specialities,www.centene.com,Oliver Craft
836,96,Melessa Oates,Technical Writer,Azul S.A.,501-1000,Air Freight/Delivery Services,www.azul.com,Joy Valencia
320,58,Arni Holleran,Executive Secretary,Concho Resources Inc.,201-500,Oil & Gas Production,www.concho.com,Lance Floyd
524,20,Konrad Schober,Speech Pathologist,First Trust TCW Opportunistic Fixed Income ETF,201-500,Holdings,www.first.com,Orson Santos
699,2,Gianina McGiven,Senior Sales Associate,"MKS Instruments, Inc.",501-1000,Industrial Machinery/Components,www.mks.com,Samuel Acosta
91,74,Sashenka Hinrichs,Developer I,"Wheeler Real Estate Investment Trust, Inc.",1001-5000,Real Estate Investment Trusts,www.wheeler.com,Ivy Harper
154,51,Carlotta Trevena,Geologist III,First Trust Enhanced Short Maturity ETF,201-500,Holdings,www.first.com,Iliana Weiss
16,12,Christan Traut,Nuclear Power Engineer,Enterprise Products Partners L.P.,201-500,Natural Gas Distribution,www.enterprise.com,Naomi Livingston
608,36,Barny Kinchin,Occupational Therapist,Kennedy-Wilson Holdings Inc.,1001-5000,Real Estate,www.kennedy-wilson.com,Stuart Riley
715,94,Erinn Nolli,Account Executive,Nuveen North Carolina Quality Municipal Income Fd,201-500,Holdings,www.nuveen.com,Adam Burch
245,49,Zolly Gerritsma,Professor,"NextEra Energy, Inc.",201-500,Holdings,www.nextera.com,Troy Workman
460,97,Ginnifer Stiegar,Financial Advisor,"Merrill Lynch Depositor, Inc.",501-1000,Finance: Consumer Services,www.merrill.com,Neil Garrett
772,41,Beale Haney,Recruiter,RADA Electronic Industries Ltd.,501-1000,Electronic Components,www.rada.com,Erich Pruitt
659,87,Roshelle Storm,Structural Analysis Engineer,Pacific Special Acquisition Corp.,10000+,Business Services,www.pacific.com,Lacy Chambers
649,61,Bambi Bumphrey,VP Sales,"Nova Lifestyle, Inc",201-500,Home Furnishings,www.nova.com,Maryam Whitfield
299,81,Adelind D'Angeli,Engineer III,"United Bancshares, Inc.",201-500,Major Banks,www.united.com,Solomon Matthews
488,10,Korney Dummer,Software Test Engineer II,"Microvision, Inc.",201-500,Industrial Machinery/Components,"www.microvision,.com",Seth Rosario
310,79,Chrissy Fannin,Senior Editor,"Regeneron Pharmaceuticals, Inc.",10000+,Major Pharmaceuticals,www.regeneron.com,Piper Clarke
420,72,Dianemarie Friatt,Compensation Analyst,Trecora Resources,1001-5000,Integrated oil Companies,www.trecora.com,Stone Dotson
317,70,Claiborne Kilroy,Senior Developer,"Banco Santander, S.A.",1001-5000,Commercial Banks,www.banco.com,Tucker Horn
895,10,Liza Hoopper,Civil Engineer,Humana Inc.,501-1000,Medical Specialities,www.humana.com,Seth Rosario
456,46,Sophie Egan,Software Consultant,Lipocine Inc.,1001-5000,Major Pharmaceuticals,www.lipocine.com,Camille Ortega
875,49,Babbie Danielczyk,Nuclear Power Engineer,WisdomTree U.S. Quality Dividend Growth Fund,1001-5000,Holdings,www.wisdomtree.com,Troy Workman
729,88,Christean Northley,Account Representative III,SEACOR Marine Holdings Inc.,501-1000,Marine Transportation,www.seacor.com,Rhona Gross
525,78,Kimbra Yegorchenkov,Payment Adjustment Coordinator,"Electro Scientific Industries, Inc.",10000+,Industrial Machinery/Components,www.electro.com,Audrey Landry
911,19,Andy Tabor,Computer Systems Analyst III,Tuttle Tactical Management Multi-Strategy Income ETF,201-500,Holdings,www.tuttle.com,Hasad Conrad
601,3,Noble Addionizio,Compensation Analyst,"FireEye, Inc.",10000+,Computer peripheral equipment,"www.fireeye,.com",Nita Brewer
98,83,Daphne Jennions,Design Engineer,"Soleno Therapeutics, Inc.",10000+,Biotechnology: Electromedical & Electrotherapeutic Apparatus,www.soleno.com,Kaseem James
597,89,Huntlee Lening,Mechanical Systems Engineer,Brink&#39;s Company (The),501-1000,Oil Refining/Marketing,www.brink&#39;s.com,Jack Mccarthy
933,80,Lanette Barthelme,Sales Representative,PowerShares DWA SmallCap Momentum Portfolio,201-500,Holdings,www.powershares.com,Gary Randall
12,93,Toinette Gravener,Quality Control Specialist,Towne Bank,1001-5000,Holdings,www.towne.com,Giselle Dejesus
668,72,Rhys Tomisch,Administrative Officer,"General American Investors, Inc.",1001-5000,Holdings,www.general.com,Stone Dotson
86,81,Say Safhill,Senior Quality Engineer,"PCM, Inc.",1001-5000,Catalog/Specialty Distribution,"www.pcm,.com",Solomon Matthews
391,26,Annalise Kemshell,Marketing Manager,Morgan Stanley,1001-5000,Holdings,www.morgan.com,Sacha Osborn
537,46,Dawn Fetherstonhaugh,Senior Developer,Axis Capital Holdings Limited,1001-5000,Holdings,www.axis.com,Camille Ortega
847,58,Jesus Stilliard,VP Accounting,Cincinnati Financial Corporation,201-500,Property-Casualty Insurers,www.cincinnati.com,Lance Floyd
66,9,Yettie Ashcroft,Administrative Officer,ProQR Therapeutics N.V.,501-1000,Major Pharmaceuticals,www.proqr.com,Louis Yates
445,28,Missy Cicculi,Account Executive,Fairmount Santrol Holdings Inc.,10000+,Mining & Quarrying of Nonmetallic Minerals (No Fuels),www.fairmount.com,Thomas Kidd
995,49,Bobinette Ikins,Speech Pathologist,"Templeton Global Income Fund, Inc.",201-500,Holdings,www.templeton.com,Troy Workman
982,36,Hatty Raddan,Recruiter,Grupo Aval Acciones y Valores S.A.,201-500,Commercial Banks,www.grupo.com,Stuart Riley
352,16,Lillian Phinn,Sales Representative,"Chart Industries, Inc.",10000+,Metal Fabrications,www.chart.com,Kimberley Owen
129,5,Raymond Edeler,Staff Scientist,Golden Ocean Group Limited,1001-5000,Marine Transportation,www.golden.com,Risa Pugh
274,4,Forster Eam,Desktop Support Technician,"AeroVironment, Inc.",10000+,Aerospace,"www.aerovironment,.com",Ignatius Frank
696,41,Enrichetta Derell,Internal Auditor,Taro Pharmaceutical Industries Ltd.,501-1000,Major Pharmaceuticals,www.taro.com,Erich Pruitt
52,99,Amil Mingauld,Environmental Tech,"SunCoke Energy Partners, L.P.",501-1000,Steel/Iron Ore,www.suncoke.com,Calista Rosales
983,92,Marieann Vellender,Product Engineer,LiNiu Technology Group,10000+,Services-Misc. Amusement & Recreation,www.liniu.com,Basil Leach
383,97,Carolus Fosserd,Computer Systems Analyst I,ZTO Express (Cayman) Inc.,501-1000,Trucking Freight/Courier Services,www.zto.com,Neil Garrett
937,43,Eleen Piolli,Assistant Professor,Vector Group Ltd.,1001-5000,Farming/Seeds/Milling,www.vector.com,Fritz Rodgers
572,67,Lorilyn Mahon,Financial Analyst,Opus Bank,10000+,Holdings,www.opus.com,Velma Eaton
103,65,Filip La Croce,Software Test Engineer IV,First Trust Emerging Markets Small Cap AlphaDEX Fund,1001-5000,Holdings,www.first.com,Orla Shepard
345,20,Olenolin Benitez,Sales Associate,"Spark Energy, Inc.",10000+,Power Generation,www.spark.com,Orson Santos
934,65,Armin Walrond,Food Chemist,RenaissanceRe Holdings Ltd.,501-1000,Holdings,www.renaissancere.com,Orla Shepard
749,6,Martin Elegood,Developer IV,Black Box Corporation,1001-5000,Computer Communications Equipment,www.black.com,Yolanda Wade
133,45,Genovera Hastings,Executive Secretary,"B&G Foods, Inc.",201-500,Packaged Foods,www.b&g.com,Ethan Odom
162,40,Vannie Suffield,Teacher,L.B. Foster Company,201-500,Metal Fabrications,www.l.b..com,Amal Hodges
90,20,Jamil Franciottoi,Senior Editor,Vanguard Russell 1000 ETF,501-1000,Holdings,www.vanguard.com,Orson Santos
962,10,Lebbie Bartelot,Executive Secretary,Taitron Components Incorporated,10000+,Electronic Components,www.taitron.com,Seth Rosario
556,35,Salaidh Barraclough,Compensation Analyst,Fifth Third Bancorp,201-500,Major Banks,www.fifth.com,Ray Patton
846,93,Edgard Ace,Paralegal,TIM Participacoes S.A.,1001-5000,Telecommunications Equipment,www.tim.com,Giselle Dejesus
952,3,Trudy Zaczek,Web Developer IV,Greif Bros. Corporation,1001-5000,Holdings,www.greif.com,Nita Brewer
559,34,Zelig Yockley,Director of Sales,GGP Inc.,10000+,Real Estate Investment Trusts,www.ggp.com,Dolan Merrill
552,16,Danny Bottrell,VP Marketing,"FormFactor, Inc.",201-500,Semiconductors,"www.formfactor,.com",Kimberley Owen
998,92,Michal Fitt,Quality Control Specialist,"PS Business Parks, Inc.",1001-5000,Holdings,www.ps.com,Basil Leach
258,84,Hansiain Goucher,Senior Editor,Stellar Acquisition III Inc.,201-500,Business Services,www.stellar.com,Tasha Baxter
634,73,Deerdre Farlham,Assistant Manager,"Tallgrass Energy Partners, LP",201-500,Natural Gas Distribution,www.tallgrass.com,Lysandra Whitfield
436,15,Daryn Pearsall,Electrical Engineer,"Tabula Rasa HealthCare, Inc.",1001-5000,Business Services,www.tabula.com,Clayton Reid
42,9,Sophronia Figgs,Geological Engineer,"Anthem, Inc.",10000+,Medical Specialities,"www.anthem,.com",Louis Yates
922,92,Adela Elster,Junior Executive,Harmony Merger Corp.,201-500,Oil & Gas Production,www.harmony.com,Basil Leach
748,90,Thaddeus Pyle,Help Desk Technician,Highway Holdings Limited,10000+,Metal Fabrications,www.highway.com,Josiah Olson
133,84,Lurlene Currell,VP Sales,"B&G Foods, Inc.",201-500,Packaged Foods,www.b&g.com,Tasha Baxter
738,88,Veronica McCraine,Data Coordiator,"Aerohive Networks, Inc.",501-1000,EDP Services,www.aerohive.com,Rhona Gross
163,59,Paloma Slowgrave,Help Desk Technician,Hoegh LNG Partners LP,1001-5000,Marine Transportation,www.hoegh.com,Amanda Massey
320,80,Clark Browning,Structural Analysis Engineer,Concho Resources Inc.,201-500,Oil & Gas Production,www.concho.com,Gary Randall
924,57,Wyatan Whitelaw,Recruiter,Unilever PLC,1001-5000,Package Goods/Cosmetics,www.unilever.com,Colette Black
793,92,Shannan Witheridge,Senior Sales Associate,"Just Energy Group, Inc.",201-500,Oil/Gas Transmission,www.just.com,Basil Leach
915,57,Tamar Wessell,GIS Technical Architect,"Bridge Bancorp, Inc.",10000+,Major Banks,www.bridge.com,Colette Black
546,67,Neddie Glaum,Assistant Manager,Eagle Point Credit Company Inc.,1001-5000,Holdings,www.eagle.com,Velma Eaton
960,60,Helyn Lubomirski,Account Representative I,Nuveen AMT-Free Municipal Value Fund,10000+,Holdings,www.nuveen.com,Scott Camacho
44,42,Russ Helis,Community Outreach Specialist,Novanta Inc.,501-1000,Industrial Machinery/Components,www.novanta.com,Georgia Middleton
540,2,Jermaine Windrus,Research Nurse,"Zogenix, Inc.",1001-5000,Major Pharmaceuticals,"www.zogenix,.com",Samuel Acosta
185,22,Sena Lotwich,Help Desk Technician,Granite Real Estate Inc.,1001-5000,Holdings,www.granite.com,Fuller Spencer
760,10,Brit Ofen,Marketing Assistant,"Iconix Brand Group, Inc.",201-500,Shoe Manufacturing,www.iconix.com,Seth Rosario
338,29,Sari Bellham,Nuclear Power Engineer,"Scudder Global High Income Fund, Inc.",1001-5000,Holdings,www.scudder.com,Aline Vincent
177,46,Briana Durtnel,General Manager,Guggenheim Enhanced Equity Income Fund,1001-5000,Holdings,www.guggenheim.com,Camille Ortega
434,33,Kali Weightman,Professor,"Saul Centers, Inc.",201-500,Holdings,www.saul.com,Chester Payne
211,8,Anny Blandford,VP Product Management,Mercer International Inc.,501-1000,Paper,www.mercer.com,Dexter Cherry
657,77,Regan Mussilli,Junior Executive,Hewlett Packard Enterprise Company,201-500,Computer Manufacturing,www.hewlett.com,Hoyt Downs
155,13,Drusie Housaman,Assistant Professor,"Fidelity National Information Services, Inc.",501-1000,Business Services,www.fidelity.com,Anjolie Murphy
278,3,Nancy Westmarland,Occupational Therapist,"Ecology and Environment, Inc.",10000+,Military/Government/Technical,www.ecology.com,Nita Brewer
84,56,Jana Rowlstone,Engineer II,Olin Corporation,1001-5000,Major Chemicals,www.olin.com,Hayley Munoz
336,89,Caren Rookeby,Civil Engineer,Fiduciary/Claymore MLP Opportunity Fund,201-500,Holdings,www.fiduciary/claymore.com,Jack Mccarthy
8,97,Hulda Densie,VP Product Management,SandRidge Mississippian Trust II,10000+,Oil & Gas Production,www.sandridge.com,Neil Garrett
590,28,Yardley Bohler,Nurse Practicioner,Benitec Biopharma Limited,501-1000,Major Pharmaceuticals,www.benitec.com,Thomas Kidd
998,24,Nancee Gaiger,Senior Editor,"PS Business Parks, Inc.",1001-5000,Holdings,www.ps.com,Ava Osborne
520,67,Brandea Bonafant,Accounting Assistant III,"Advanced Emissions Solutions, Inc.",501-1000,Major Chemicals,www.advanced.com,Velma Eaton
32,56,Andie Hallitt,Civil Engineer,SPX Corporation,501-1000,Industrial Machinery/Components,www.spx.com,Hayley Munoz
299,71,Sharlene Gooke,Web Designer II,"United Bancshares, Inc.",201-500,Major Banks,www.united.com,Farrah Mcgee
187,27,Kitti Gibbins,Programmer II,"Heritage-Crystal Clean, Inc.",1001-5000,Miscellaneous,www.heritage-crystal.com,Catherine Estes
685,34,Noel Antunez,Cost Accountant,Sears Holdings Corporation,10000+,Department/Specialty Retail Stores,www.sears.com,Dolan Merrill
963,93,Fan Grimstead,Teacher,Pacific Special Acquisition Corp.,1001-5000,Business Services,www.pacific.com,Giselle Dejesus
334,36,Britt Turpey,Junior Executive,"The Bon-Ton Stores, Inc.",201-500,Department/Specialty Retail Stores,www.the.com,Stuart Riley
966,61,Creighton Haldin,Administrative Officer,Conyers Park Acquisition Corp.,201-500,Business Services,www.conyers.com,Maryam Whitfield
308,50,Fifine Klaaasen,Software Test Engineer I,Assured Guaranty Ltd.,501-1000,Property-Casualty Insurers,www.assured.com,Basia Russo
847,52,Lutero Ridgeway,Design Engineer,Cincinnati Financial Corporation,201-500,Property-Casualty Insurers,www.cincinnati.com,Daphne Lindsey
411,76,Bel Jaeggi,Executive Secretary,Innodata Inc.,501-1000,EDP Services,www.innodata.com,Bethany Horne
281,47,Gawain Weippert,Physical Therapy Assistant,"Ryder System, Inc.",201-500,Rental/Leasing Companies,www.ryder.com,Ursa Singleton
233,45,Jarad Newborn,Registered Nurse,"PDL BioPharma, Inc.",201-500,Biotechnology: Biological Products (No Diagnostic Substances),www.pdl.com,Ethan Odom
480,41,Nicki Rotherham,Biostatistician II,"Xerium Technologies, Inc.",501-1000,Textiles,www.xerium.com,Erich Pruitt
563,5,Hedvig Edon,Senior Sales Associate,"Avenue Therapeutics, Inc.",201-500,Holdings,www.avenue.com,Risa Pugh
740,98,Valera Going,Chemical Engineer,"Glacier Bancorp, Inc.",1001-5000,Major Banks,www.glacier.com,Maryam Mann
821,64,Ronny Bramble,Pharmacist,Deutsche Bank AG,1001-5000,Major Banks,www.deutsche.com,Rama Frye
586,90,Gibbie Puzey,Accounting Assistant IV,CoreSite Realty Corporation,10000+,Real Estate Investment Trusts,www.coresite.com,Josiah Olson
224,54,Rob Holyard,Marketing Assistant,Harsco Corporation,1001-5000,Metal Fabrications,www.harsco.com,Eve Mccarty
67,81,Shurwood Brellin,Safety Technician I,"Southcross Energy Partners, L.P.",10000+,Natural Gas Distribution,www.southcross.com,Solomon Matthews
102,35,Doralia Snell,Junior Executive,National Holdings Corporation,201-500,Investment Bankers/Brokers/Service,www.national.com,Ray Patton
991,7,Kale De Paoli,Editor,JM Global Holding Company,10000+,Business Services,www.jm.com,Shaeleigh Ruiz
559,21,Mitch Dimmock,Software Test Engineer II,GGP Inc.,10000+,Real Estate Investment Trusts,www.ggp.com,Vernon Dejesus
547,48,Doralin Jossel,Software Consultant,Arch Capital Group Ltd.,501-1000,Holdings,www.arch.com,Jolie Nash
993,57,Eb Abby,Data Coordiator,"Catabasis Pharmaceuticals, Inc.",1001-5000,Major Pharmaceuticals,www.catabasis.com,Colette Black
738,86,Ora Berford,Accounting Assistant III,"Aerohive Networks, Inc.",501-1000,EDP Services,www.aerohive.com,Nyssa King
715,5,Broderick Willcott,Research Associate,Nuveen North Carolina Quality Municipal Income Fd,201-500,Holdings,www.nuveen.com,Risa Pugh
765,79,Irwinn Caine,Nuclear Power Engineer,Scorpio Tankers Inc.,501-1000,Marine Transportation,www.scorpio.com,Piper Clarke
314,66,Wesley Lord,Automation Specialist IV,FIRST REPUBLIC BANK,10000+,Holdings,www.first.com,Jacob Dorsey
345,64,Elbert Hammill,Teacher,"Spark Energy, Inc.",10000+,Power Generation,www.spark.com,Rama Frye
900,44,Bendicty Rougier,Recruiter,"Hawthorn Bancshares, Inc.",1001-5000,Major Banks,www.hawthorn.com,Lani Solomon
132,59,Adan Adamowitz,Software Test Engineer I,Michael Kors Holdings Limited,10000+,Apparel,www.michael.com,Amanda Massey
345,42,Patrice Dederick,Teacher,"Spark Energy, Inc.",10000+,Power Generation,www.spark.com,Georgia Middleton
413,94,Gilligan Vanshin,Senior Quality Engineer,Harvest Capital Credit Corporation,501-1000,Holdings,www.harvest.com,Adam Burch
551,83,Simone Guidoni,Geologist IV,"GlassBridge Enterprises, Inc.",1001-5000,Electronic Components,www.glassbridge.com,Kaseem James
768,60,Philly Flode,Marketing Assistant,"HC2 Holdings, Inc.",10000+,Metal Fabrications,www.hc2.com,Scott Camacho
783,11,Sileas Krzysztof,Marketing Manager,Cesca Therapeutics Inc.,1001-5000,Medical Specialities,www.cesca.com,Aline Larsen
861,73,Kenn Lumsdale,Librarian,Arlington Asset Investment Corp,201-500,Finance/Investors Services,www.arlington.com,Lysandra Whitfield
685,65,Demetri Kemston,Pharmacist,Sears Holdings Corporation,10000+,Department/Specialty Retail Stores,www.sears.com,Orla Shepard
12,98,Salomon Chadwell,Statistician II,Towne Bank,1001-5000,Holdings,www.towne.com,Maryam Mann
684,31,Leda Ivanshintsev,Dental Hygienist,CBS Corporation,1001-5000,Broadcasting,www.cbs.com,Natalie Hull
276,13,Katusha Lankester,Administrative Officer,"ACI Worldwide, Inc.",10000+,Computer Software: Prepackaged Software,www.aci.com,Anjolie Murphy
804,94,Pedro O'Neary,Internal Auditor,"Cidara Therapeutics, Inc.",501-1000,Biotechnology: Biological Products (No Diagnostic Substances),www.cidara.com,Adam Burch
799,6,Yvonne Braxay,Help Desk Technician,NetSol Technologies Inc.,501-1000,Computer Software: Prepackaged Software,www.netsol.com,Yolanda Wade
499,6,Octavia Faustin,Project Manager,Sunrun Inc.,1001-5000,Industrial Specialties,www.sunrun.com,Yolanda Wade
703,36,Crystal Nansom,Recruiter,Brasilagro Cia Brasileira De Propriedades Agricolas,1001-5000,Holdings,www.brasilagro.com,Stuart Riley
18,8,Palm Weigh,Editor,"PNM Resources, Inc. (Holding Co.)",501-1000,Electric Utilities: Central,www.pnm.com,Dexter Cherry
460,12,Carlina Thurling,General Manager,"Merrill Lynch Depositor, Inc.",501-1000,Finance: Consumer Services,www.merrill.com,Naomi Livingston
979,60,Charles Hambric,Senior Editor,Gabelli Dividend,10000+,Holdings,www.gabelli.com,Scott Camacho
975,78,Mag Phipard-Shears,Internal Auditor,Bank of America Corporation,201-500,Holdings,www.bank.com,Audrey Landry
770,86,Glenine Rubberts,Operator,"Safe Bulkers, Inc",501-1000,Holdings,www.safe.com,Nyssa King
758,41,Sybil Hought,Community Outreach Specialist,"Summit Financial Group, Inc.",501-1000,Major Banks,www.summit.com,Erich Pruitt
698,67,Lorry Brick,Staff Scientist,Bel Fuse Inc.,10000+,Electrical Products,www.bel.com,Velma Eaton
846,21,Roseanna Caudwell,Automation Specialist II,TIM Participacoes S.A.,1001-5000,Telecommunications Equipment,www.tim.com,Vernon Dejesus
436,39,Kane Gurnett,Internal Auditor,"Tabula Rasa HealthCare, Inc.",1001-5000,Business Services,www.tabula.com,Gail William
968,95,Noam Tankard,Director of Sales,"Cass Information Systems, Inc",201-500,Business Services,www.cass.com,Penelope Bolton
638,1,Corrinne Cade,Civil Engineer,Gabelli Global Small and Mid Cap Value Trust (The),10000+,Holdings,www.gabelli.com,Bianca Cardenas
939,34,Yoshi Duplock,Assistant Professor,Global X SuperDividend REIT ETF,1001-5000,Holdings,www.global.com,Dolan Merrill
170,22,Dela Potte,Systems Administrator IV,Nuveen Floating Rate Income Fund,201-500,Holdings,www.nuveen.com,Fuller Spencer
178,48,Siobhan Reichelt,Teacher,"JAKKS Pacific, Inc.",10000+,Recreational Products/Toys,www.jakks.com,Jolie Nash
173,3,Cherrita Gascar,Technical Writer,"Soleno Therapeutics, Inc.",10000+,Biotechnology: Electromedical & Electrotherapeutic Apparatus,www.soleno.com,Nita Brewer
445,32,Livvie Battleson,Internal Auditor,Fairmount Santrol Holdings Inc.,10000+,Mining & Quarrying of Nonmetallic Minerals (No Fuels),www.fairmount.com,Gretchen Montgomery
74,43,Christophorus Shelly,Tax Accountant,"Synthetic Fixed-Income Securities, Inc.",201-500,Finance: Consumer Services,www.synthetic.com,Fritz Rodgers
138,38,Raphael Van Niekerk,Civil Engineer,"G1 Therapeutics, Inc.",201-500,Major Pharmaceuticals,www.g1.com,Colleen Harper
105,64,Clement Brunel,Paralegal,"International Seaways, Inc.",10000+,Marine Transportation,www.international.com,Rama Frye
337,80,Gwendolyn Kulvear,Assistant Professor,Global Indemnity Limited,1001-5000,Property-Casualty Insurers,www.global.com,Gary Randall
83,21,Madelle Janicijevic,Pharmacist,New Mountain Finance Corporation,10000+,Holdings,www.new.com,Vernon Dejesus
95,87,Giulietta Gather,Operator,Horizon Bancorp (IN),501-1000,Major Banks,www.horizon.com,Lacy Chambers
196,46,Leeanne Chansonne,Junior Executive,Yirendai Ltd.,501-1000,Finance: Consumer Services,www.yirendai.com,Camille Ortega
560,96,Alfy Wildt,Payment Adjustment Coordinator,"Itron, Inc.",201-500,Electrical Products,"www.itron,.com",Joy Valencia
393,70,Bernetta Greenhall,Senior Financial Analyst,Vanguard Mortgage-Backed Securities ETF,501-1000,Holdings,www.vanguard.com,Tucker Horn
164,51,Lelia Alyutin,Human Resources Assistant II,Seadrill Partners LLC,1001-5000,Oil & Gas Production,www.seadrill.com,Iliana Weiss
601,22,Denver Ginner,Computer Systems Analyst I,"FireEye, Inc.",10000+,Computer peripheral equipment,"www.fireeye,.com",Fuller Spencer
584,66,Niel Damato,Office Assistant II,"MFA Financial, Inc.",501-1000,Real Estate Investment Trusts,www.mfa.com,Jacob Dorsey
